ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
10185,10287,10275,(Hook.) Nutt.,23,955,Abies lasiocarpa,,1,,,,,,,
10185,10287,10275,Torr.,127382,976,Acer glabrum,,1,,,,,,,
10185,10287,10275,L.,388,976,Acer negundo,,0,,,,,,,
10185,10287,10275,L.,418,979,Achillea millefolium,,1,,,,,,,
10185,10287,10275,L.,409,979,Achillea alpina,,1,,,,,,,
10185,10287,10275,(Scribn.) Romasch.,450485,17473,Eriocoma nelsonii,,1,,,,,,,
10185,10287,10275,DC.,445978,1006,Aconitum delphiniifolium,,1,,,,,,,
10185,10287,10275,(Aiton) Willd.,660,1026,Actaea rubra,,1,,,,,,,
10185,10287,10275,(Hook.) Greene,127397,1126,Agoseris aurantiaca,,1,,,,,,,
10185,10287,10275,(Pursh) Raf.,125878,1126,Agoseris glauca,,1,,,,,,,
10185,10287,10275,(L.) Gaertn.,1193,1128,Agropyron cristatum,,0,,,,,,,
10185,10287,10275,(Vasey) Björkman,450674,20279,Podagrostis humilis,,1,,,,,,,
10185,10287,10275,Trin.,1237,1130,Agrostis mertensii,,1,,,,,,,
10185,10287,10275,Willd.,1258,1130,Agrostis scabra,,1,,,,,,,
10185,10287,10275,L.,1260,1130,Agrostis stolonifera,,0,,,,,,,
10185,10287,10275,(Hitchc.) Hultén,450675,20279,Podagrostis thurberiana,,1,,,,,,,
10185,10287,10275,Rydb.,129806,1130,Agrostis variabilis,,1,,,,,,,
10185,10287,10275,Roth,125881,1174,Allium cernuum,,1,,,,,,,
10185,10287,10275,L.,1566,1174,Allium schoenoprasum,,1,,,,,,,
10185,10287,10275,(L.) Moench,1650,1185,Alnus incana,,1,,,,,,,
10185,10287,10275,(Ehrh.) K.Koch,1644,1185,Alnus alnobetula,,1,,,,,,,
10185,10287,10275,Sobol.,1687,1189,Alopecurus aequalis,,1,,,,,,,
10185,10287,10275,(L.) L.,1870,1211,Alyssum alyssoides,,0,,,,,,,
10185,10287,10275,(Nutt.) Nutt. ex M.Roem.,125553,1227,Amelanchier alnifolia,,1,,,,,,,
10185,10287,10275,(Banks ex Pursh) R.M.Bateman,130408,11955,Galearis rotundifolia,,1,,,,,,,
10185,10287,10275,(L.) Benth. & Hook.f.,2172,1280,Anaphalis margaritacea,,1,,,,,,,
10185,10287,10275,L.,2223,1296,Andromeda polifolia,,1,,,,,,,
10185,10287,10275,Wulfen,2247,1298,Androsace chamaejasme,,1,,,,,,,
10185,10287,10275,L.,2252,1298,Androsace septentrionalis,,1,,,,,,,
10185,10287,10275,(L.) Mosyakin,450304,19977,Anemonastrum canadense,,1,,,,,,,
10185,10287,10275,S.Watson,2288,1303,Anemone drummondii,,1,,,,,,,
10185,10287,10275,Poir.,53453,1303,Anemone multifida,,1,,,,,,,
10185,10287,10275,Michx.,77311,1303,Anemone parviflora,,1,,,,,,,
10185,10287,10275,(Hook.) Mosyakin,438441,19977,Anemonastrum richardsonii,,1,,,,,,,
10185,10287,10275,Nutt.,125978,1342,Antennaria parvifolia,,1,,,,,,,
10185,10287,10275,E.E.Nelson,130639,1342,Antennaria corymbosa,,1,,,,,,,
10185,10287,10275,Greene,126197,1342,Antennaria howellii,,1,,,,,,,
10185,10287,10275,Greene,130779,1342,Antennaria lanata,,1,,,,,,,
10185,10287,10275,Torr. & A.Gray,130640,1342,Antennaria luzuloides,,1,,,,,,,
10185,10287,10275,Greene,129530,1342,Antennaria media,,1,,,,,,,
10185,10287,10275,DC.,77315,1342,Antennaria monocephala,,1,,,,,,,
10185,10287,10275,DC.,77315,1342,Antennaria monocephala,,1,,,,,,,
10185,10287,10275,(L.) Gaertn.,2509,1342,Antennaria alpina,,1,,,,,,,
10185,10287,10275,Nutt.,125978,1342,Antennaria parvifolia,,1,,,,,,,
10185,10287,10275,(Hook.) Greene,129142,1342,Antennaria pulcherrima,,1,,,,,,,
10185,10287,10275,Hook.,129531,1342,Antennaria racemosa,,1,,,,,,,
10185,10287,10275,Greene,127422,1342,Antennaria rosea,,1,,,,,,,
10185,10287,10275,Greene,127422,1342,Antennaria rosea,,1,,,,,,,
10185,10287,10275,Rydb.,129143,1342,Antennaria umbrinella,,1,,,,,,,
10185,10287,10275,L.,2584,1354,Anthyllis vulneraria,,0,,,,,,,
10185,10287,10275,L.,126202,1392,Apocynum androsaemifolium,,1,,,,,,,
10185,10287,10275,Hook.,126203,1407,Aquilegia brevistyla,,1,,,,,,,
10185,10287,10275,S.Watson,130742,1407,Aquilegia flavescens,,1,,,,,,,
10185,10287,10275,Fisch. ex DC.,128457,1407,Aquilegia formosa,,1,,,,,,,
10185,10287,10275,(A.Gray) Á.Löve & D.Löve,438483,1753,Boechera drummondii,,1,,,,,,,
10185,10287,10275,(S.Watson) W.A.Weber,125506,1753,Boechera lemmonii,,1,,,,,,,
10185,10287,10275,(S.Watson) Dorn,129596,1753,Boechera lyallii,,1,,,,,,,
10185,10287,10275,(L.) O'Kane & Al-Shehbaz,2788,1409,Arabidopsis lyrata,,1,,,,,,,
10185,10287,10275,(Kuntze) B.L.Rob.,450770,1410,Arabis nuttallii,,1,,,,,,,
10185,10287,10275,M.Hopkins,450306,1410,Arabis pycnocarpa,,1,,,,,,,
10185,10287,10275,L.,2863,1417,Aralia nudicaulis,,1,,,,,,,
10185,10287,10275,Nutt. ex Engelm.,129866,1423,Arceuthobium americanum,,1,,,,,,,
10185,10287,10275,(Trin.) Beal,2934,1432,Arctagrostis arundinacea,,1,,,,,,,
10185,10287,10275,(L.) Spreng.,2948,1437,Arctostaphylos uva-ursi,,1,,,,,,,
10185,10287,10275,(Rehder & E.H.Wilson) Nakai,130449,1440,Arctous rubra,,1,,,,,,,
10185,10287,10275,(Poir.) Fenzl,16739,3152,Eremogone capillaris,,1,,,,,,,
10185,10287,10275,"G.Gaertn., B.Mey. & Scherb.",3359,1469,Armoracia rusticana,,0,,,,,,,
10185,10287,10275,Nutt.,450249,1471,Arnica amplexicaulis,,1,,,,,,,
10185,10287,10275,Vahl,3362,1471,Arnica angustifolia,,1,,,,,,,
10185,10287,10275,Less.,125508,1471,Arnica chamissonis,,1,,,,,,,
10185,10287,10275,Hook.,128064,1471,Arnica cordifolia,,1,,,,,,,
10185,10287,10275,Pursh,130641,1471,Arnica fulgens,,1,,,,,,,
10185,10287,10275,Rydb.,130780,1471,Arnica gracilis,,1,,,,,,,
10185,10287,10275,Bong.,130411,1471,Arnica latifolia,,1,,,,,,,
10185,10287,10275,Greene,132709,1471,Arnica lonchophylla,,1,,,,,,,
10185,10287,10275,Farr,133436,1471,Arnica louiseana,,1,,,,,,,
10185,10287,10275,Hook.,129041,1471,Arnica mollis,,1,,,,,,,
10185,10287,10275,A.Gray,129144,1471,Arnica parryi,,1,,,,,,,
10185,10287,10275,Greene,129537,1471,Arnica rydbergii,,1,,,,,,,
10185,10287,10275,L.,3388,1478,Artemisia absinthium,,0,,,,,,,
10185,10287,10275,Willd.,3396,1478,Artemisia biennis,,1,,,,,,,
10185,10287,10275,L.,3400,1478,Artemisia campestris,,1,,,,,,,
10185,10287,10275,L.,3400,1478,Artemisia campestris,,1,,,,,,,
10185,10287,10275,L.,3405,1478,Artemisia dracunculus,,1,,,,,,,
10185,10287,10275,Willd.,102640,1478,Artemisia frigida,,1,,,,,,,
10185,10287,10275,Nutt.,3425,1478,Artemisia ludoviciana,,1,,,,,,,
10185,10287,10275,Besser,130643,1478,Artemisia michauxiana,,1,,,,,,,
10185,10287,10275,Fr.,3431,1478,Artemisia norvegica,,1,,,,,,,
10185,10287,10275,Kostel. ex Maxim.,438529,1492,Aruncus sylvester,,1,,,,,,,
10185,10287,10275,Huds.,3998,1517,Asplenium viride,,1,,,,,,,
