ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
28,265,263,L.,2790,1410,Arabis alpina,,1,,0,,,,,
28,265,263,L.,7677,2015,Cardamine bellidifolia,,1,,0,,,,,
28,265,263,L.,7715,2015,Cardamine pratensis,,1,,0,,,,,
28,265,263,L.,10370,2367,Cochlearia groenlandica,,1,,0,,,,,
28,265,263,L.,14983,2959,Draba alpina,,1,,0,,,,,
28,265,263,R.Br. ex DC.,14989,2959,Draba corymbosa,,1,,0,,,,,
28,265,263,Pursh,14996,2959,Draba glabella,,1,,0,,,,,
28,265,263,Adams,15001,2959,Draba lactea,,1,,0,,,,,
28,265,263,Hook.,15005,2959,Draba micropetala,,1,,0,,,,,red listed
28,265,263,Lilj.,15008,2959,Draba nivalis,,1,,0,,,,,
28,265,263,Gunnerus,15009,2959,Draba norvegica,,1,,0,,,,,
28,265,263,Sommerf.,15013,2959,Draba oxycarpa,,1,,0,,,,,
28,265,263,Simmons,15017,2959,Draba subcapitata,,1,,0,,,,,
28,265,263,(Ostenf. & O.C.Dahl) Steffen,3078,1444,Arenaria pseudofrigida,,1,,0,,,,,
28,265,263,Lange,8879,2133,Cerastium arcticum,,1,,0,,,,,
28,265,263,Ostenf.,8904,2133,Cerastium regelii,,1,,0,,,,,
28,265,263,(L.) A.J.Moore & Dillenb.,441271,20063,Cherleria biflora,,1,,0,,,,,
28,265,263,(R.Br. ex Richardson) Dillenb. & Kadereit,153936,11078,Sabulina rossii,,1,,0,,,,,red listed
28,265,263,(Wahlenb.) Dillenb. & Kadereit,153937,11078,Sabulina rubella,,1,,0,,,,,
28,265,263,(Lindblad) Fr.,39543,6105,Sagina nivalis,,1,,0,,,,,
28,265,263,(L.) Jacq.,41586,6372,Silene acaulis,,1,,0,,,,,
28,265,263,Rottb.,42784,6523,Stellaria humifusa,,1,,0,,,,,
28,265,263,Goldie,42786,6523,Stellaria longipes,,1,,0,,,,,
28,265,263,Schkuhr,7968,2026,Carex lachenalii,,1,,0,,,,,
28,265,263,Gunnerus,8004,2026,Carex maritima,,1,,0,,,,,
28,265,263,(Hornem.) Fr.,8024,2026,Carex nardina,,1,,0,,,,,
28,265,263,L.,23960,4024,Juncus biglumis,,1,,0,,,,,
28,265,263,(Wahlenb.) Sw.,26914,4416,Luzula arcuata,,1,,0,,,,,
28,265,263,Lindeb.,26924,4416,Luzula confusa,,1,,0,,,,,
28,265,263,(Laest.) Spreng.,26944,4416,Luzula nivalis,,1,,0,,,,,
28,265,263,(Bach.Pyl. ex Desv.) Á.Löve & D.Löve,153844,3868,Huperzia appressa,,1,,0,,,,,
28,265,263,Nordh.,441594,5255,Papaver dahlianum,,1,,0,,,,,
28,265,263,Lam.,1692,1189,Alopecurus magellanicus,,1,,0,,,,,
28,265,263,(L.) P.Beauv.,13955,2791,Deschampsia cespitosa,,1,,0,,,,,
28,265,263,Hook.,18401,3315,Festuca richardsonii,,1,,0,,,,,
28,265,263,Krajina ex Pavlick,18412,3315,Festuca viviparoidea,,1,,0,,,,,
28,265,263,(Sol.) R.Br.,33242,5469,Phippsia algida,,1,,0,,,,,
