ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
10186,10314,10302,Griff.,121858,955,Abies densa,,,,,,,,,
10186,10314,10302,D.Don,318920,9023,Morina nepalensis,,,,,,,,,
10186,10314,10302,Hook.f. & Thomson ex Hiern,373,976,Acer campbellii,,,,,,,,,
10186,10314,10302,Wall.,378,976,Acer caudatum,,,,,,,,,
10186,10314,10302,Miq.,401,976,Acer sikkimense,,,,,,,,,
10186,10314,10302,Wall. ex Brandis,121863,976,Acer pectinatum,,,,,,,,,
10186,10314,10302,L.,430,984,Achyranthes aspera,,,,,,,,,
10186,10314,10302,Wall. ex Ser.,68821,1006,Aconitum ferox,,,,,,,,,
10186,10314,10302,Wall. ex Royle,68822,1006,Aconitum heterophyllum,,,,,,,,,
10186,10314,10302,Stapf,451548,1006,Aconitum spicatum,,,,,,,,,
10186,10314,10302,D.Don,35557,5698,Polygonum molle,,,,,,,,,
10186,10314,10302,L.,579,1008,Acorus calamus,,,,,,,,,
10186,10314,10302,(C.B.Clarke) Pimenov & Kljuykov,451571,12479,Sinocarum bellum,,,,,,,,,
10186,10314,10302,(DC.) Edgew.,125436,11670,Acronema tenerum,,,,,,,,,
10186,10314,10302,Lindl.,667,1028,Actinidia callosa,,,,,,,,,
10186,10314,10302,C.B.Clarke,136615,1094,Aeschynanthus hookeri,,,,,,,,,
10186,10314,10302,(D.Don) Spreng.,136619,1094,Aeschynanthus parviflorus,,,,,,,,,
10186,10314,10302,(Hook.f.) Hook.f.,122790,1109,Agapetes saligna,,,,,,,,,
10186,10314,10302,(Wight) Sleumer,125452,1109,Agapetes serpens,,,,,,,,,
10186,10314,10302,Steud.,136623,1130,Agrostis micrantha,,,,,,,,,
10186,10314,10302,Nees ex Trin.,138528,1130,Agrostis nervosa,,,,,,,,,
10186,10314,10302,Trin.,1250,1130,Agrostis pilosula,,,,,,,,,
10186,10314,10302,Bor,139098,1130,Agrostis sikkimensis,,,,,,,,,
10186,10314,10302,Griseb.,451572,1909,Calamagrostis filiformis,,,,,,,,,
10186,10314,10302,D.Don,121457,1143,Ajuga lobata,,,,,,,,,
10186,10314,10302,(C.B.Clarke) W.W.Sm. & Cave,136638,1146,Alangium alpinum,,,,,,,,,
10186,10314,10302,Rendle,136642,1159,Aletris gracilis,,,,,,,,,
10186,10314,10302,(D.Don) Hook.f.,56699,1280,Anaphalis contorta,,,,,,,,,
10186,10314,10302,(L.) Benth. & Hook.f.,2172,1280,Anaphalis margaritacea,,,,,,,,,
10186,10314,10302,(Sims) C.B.Clarke,79936,1280,Anaphalis triplinervis,,,,,,,,,
10186,10314,10302,King & Pantl.,451573,3747,Herminium gracile,,,,,,,,,
10186,10314,10302,Lindl. ex Hook.f.,451574,3747,Herminium pugioniforme,,,,,,,,,
10186,10314,10302,Watt,139099,1298,Androsace croftii,,,,,,,,,
