ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
19,200,198,G.Forst.,32097,5297,Parietaria debilis,,1,,0,,,,,
19,200,198,(Haw.) Schwantes,8276,2041,Carpobrotus rossii,,1,,0,,,,,
19,200,198,(L.) L.Bolus,14817,2914,Disphyma crassifolium,,1,,0,,,,,
19,200,198,(Miq.) Hook.f.,44583,6726,Tetragonia implexicoma,,1,,0,,,,,
19,200,198,R.Br.,40588,6257,Scleranthus pungens,,1,,0,,,,,
19,200,198,R.Br.,16321,3105,Enchylaena tomentosa,,1,,0,,,,,
19,200,198,(Moq.) S.Fuentes & Borsch,442183,2211,Chenopodium candolleanum,,1,,0,,,,,
19,200,198,"S.Fuentes, Borsch & Uotila",442184,2211,Chenopodium wilsonii,,1,,0,,,,,
19,200,198,R.Br.,45036,6781,Threlkeldia diffusa,,1,,0,,,,,
19,200,198,Desv.,25273,4228,Lepidium foliosum,,1,,0,,,,,
19,200,198,Willd.,32524,5340,Pelargonium australe,,1,,0,,,,,
19,200,198,DC.,30385,5003,Nitraria billardierei,,1,,0,,,,,
19,200,198,R.Br.,16321,3105,Enchylaena tomentosa,,1,,0,,,,,
19,200,198,(Moq.) S.Fuentes & Borsch,442183,2211,Chenopodium candolleanum,,1,,0,,,,,
19,200,198,"S.Fuentes, Borsch & Uotila",442184,2211,Chenopodium wilsonii,,1,,0,,,,,
19,200,198,R.Br.,45036,6781,Threlkeldia diffusa,,1,,0,,,,,
19,200,198,Hook.,11157,2494,Correa backhouseana,,1,,0,,,,,
19,200,198,DC.,18837,3366,Frankenia pauciflora,,1,,0,,,,,
19,200,198,(Labill.) R.Br.,310659,4288,Leucopogon obovatus,,1,,0,,,,,
19,200,198,R.Br.,29631,4836,Myoporum insulare,,1,,0,,,,,
19,200,198,L.,22941,3915,Hypochaeris glabra,,0,,1,,,,,
19,200,198,(F.Muell.) Paul G.Wilson,25014,4204,Leiocarpa supina,,1,,0,,,,,
19,200,198,Cass.,25611,4287,Leucophyta brownii,,1,,0,,,,,
19,200,198,(DC.) F.Muell. ex Benth.,30808,5088,Olearia axillaris,,1,,0,,,,,
19,200,198,(R.Br.) Haw.,6080,1874,Bulbine semibarbata,,1,,0,,,,,
19,200,198,(Labill.) Druce,35271,5661,Poa poiformis,,1,,0,,,,,
19,200,198,"(Rottb.) Goetgh., Muasya & D.A.Simpson",18419,3321,Ficinia nodosa,,1,,0,,,,,
