ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
10191,10319,,Mill.,18,955,Abies alba,,,,,,,,,
10191,10319,,(Douglas ex D.Don) Lindl.,21,955,Abies grandis,,,,,,,,,
10191,10319,,(Steven) Spach,25,955,Abies nordmanniana,,,,,,,,,
10191,10319,,Medik.,97,961,Abutilon theophrasti,,,,,,,,,
10191,10319,,(J.R.Forst. & G.Forst.) J.B.Armstr.,234,964,Acaena anserinifolia,,,,,,,,,
10191,10319,,(Lam.) Vahl,248,964,Acaena magellanica,,,,,,,,,
10191,10319,,L.,341,965,Acalypha virginica,,,,,,,,,
10191,10319,,L.,374,976,Acer campestre,,,,,,,,,
10191,10319,,L.,387,976,Acer monspessulanum,,,,,,,,,
10191,10319,,L.,388,976,Acer negundo,,,,,,,,,
10191,10319,,Mill.,391,976,Acer opalus,,,,,,,,,
10191,10319,,L.,394,976,Acer platanoides,,,,,,,,,
10191,10319,,L.,395,976,Acer pseudoplatanus,,,,,,,,,
10191,10319,,L.,398,976,Acer saccharinum,,,,,,,,,
10191,10319,,(L.) All.,31155,5131,Orchis anthropophora,,,,,,,,,
10191,10319,,L.,56745,979,Achillea atrata,,,,,,,,,
10191,10319,,Besser ex DC.,421,979,Achillea salicifolia,,,,,,,,,
10191,10319,,L.,77582,979,Achillea clavennae,,,,,,,,,
10191,10319,,Tausch,139616,979,Achillea clusiana,,,,,,,,,
10191,10319,,Becker ex Rchb.,410,979,Achillea collina,,,,,,,,,
10191,10319,,Waldst. & Kit. ex Willd.,412,979,Achillea distans,,,,,,,,,
10191,10319,,All.,56747,979,Achillea erba-rotta,,,,,,,,,
10191,10319,,Lam.,413,979,Achillea filipendulina,,,,,,,,,
10191,10319,,L.,56748,979,Achillea macrophylla,,,,,,,,,
10191,10319,,L.,418,979,Achillea millefolium,,,,,,,,,
10191,10319,,L.,56749,979,Achillea nana,,,,,,,,,
10191,10319,,L.,419,979,Achillea nobilis,,,,,,,,,
10191,10319,,Scheele,444662,979,Achillea pannonica,,,,,,,,,
10191,10319,,L.,418,979,Achillea millefolium,,,,,,,,,
10191,10319,,L.,420,979,Achillea ptarmica,,,,,,,,,
10191,10319,,Ehrend.,443942,979,Achillea × roseoalba,,,,,,,,,
10191,10319,,Waldst. & Kit.,63456,979,Achillea setacea,,,,,,,,,
10191,10319,,Waldst. & Kit. ex Willd.,412,979,Achillea distans,,,,,,,,,
10191,10319,,(L.) P.Beauv.,438857,11899,Achnatherum calamagrostis,,,,,,,,,
10191,10319,,(L.) Kuntze,10126,2341,Clinopodium alpinum,,,,,,,,,
10191,10319,,(L.) Kuntze,10124,2341,Clinopodium acinos,,,,,,,,,
10191,10319,,L.,56755,1006,Aconitum lycoctonum,,,,,,,,,
10191,10319,,L.,56755,1006,Aconitum lycoctonum,,,,,,,,,
10191,10319,,L.,574,1006,Aconitum napellus,,,,,,,,,
10191,10319,,L.,574,1006,Aconitum napellus,,,,,,,,,
10191,10319,,L.,574,1006,Aconitum napellus,,,,,,,,,
10191,10319,,Koelle,102498,1006,Aconitum septentrionale,,,,,,,,,
10191,10319,,L.,56757,1006,Aconitum variegatum,,,,,,,,,
10191,10319,,L.,56757,1006,Aconitum variegatum,,,,,,,,,
10191,10319,,L.,579,1008,Acorus calamus,,,,,,,,,
10191,10319,,(L.) D.J.N.Hind,438180,10896,Leuzea repens,,,,,,,,,
10191,10319,,L.,662,1026,Actaea spicata,,,,,,,,,
10191,10319,,(Loisel.) DC.,81451,1053,Adenocarpus telonensis,,,,,,,,,
10191,10319,,(L.) A.DC.,77588,1060,Adenophora liliifolia,,,,,,,,,
10191,10319,,(Gouan) Kern.,777,1066,Adenostyles alliariae,,,,,,,,,
10191,10319,,(L.) Bluff & Fingerh.,778,1066,Adenostyles alpina,,,,,,,,,
10191,10319,,L.,866,1073,Adonis aestivalis,,,,,,,,,
10191,10319,,L.,868,1073,Adonis annua,,,,,,,,,
10191,10319,,Jacq.,56760,1073,Adonis flammea,,,,,,,,,
10191,10319,,L.,77589,1073,Adonis vernalis,,,,,,,,,
10191,10319,,L.,870,1074,Adoxa moschatellina,,,,,,,,,
10191,10319,,Host,891,1079,Aegilops cylindrica,,,,,,,,,
10191,10319,,Roth,892,1079,Aegilops geniculata,,,,,,,,,
10191,10319,,Req. ex Bertol.,894,1079,Aegilops neglecta,,,,,,,,,
10191,10319,,L.,897,1079,Aegilops triuncialis,,,,,,,,,
10191,10319,,L.,915,1084,Aegopodium podagraria,,,,,,,,,
10191,10319,,,438219,1096,Aesculus x carnea,,,,,,,,,
10191,10319,,L.,1002,1096,Aesculus hippocastanum,,,,,,,,,
10191,10319,,(L.) Cass.,1005,1097,Aetheorhiza bulbosa,,,,,,,,,
10191,10319,,(L.) W.T.Aiton,1006,1098,Aethionema saxatile,,,,,,,,,
10191,10319,,L.,1007,1099,Aethusa cynapium,,,,,,,,,
10191,10319,,Willd.,1028,1108,Agapanthus praecox,,,,,,,,,
10191,10319,,Mill.,1131,1119,Ageratum houstonianum,,,,,,,,,
10191,10319,,L.,1185,1127,Agrimonia eupatoria,,,,,,,,,
10191,10319,,Ledeb.,1188,1127,Agrimonia pilosa,,,,,,,,,
10191,10319,,Wallr.,1189,1127,Agrimonia procera,,,,,,,,,
10191,10319,,L.,1190,1127,Agrimonia repens,,,,,,,,,
10191,10319,,(L.) Gaertn.,1193,1128,Agropyron cristatum,,,,,,,,,
10191,10319,,L.,1197,1129,Agrostemma githago,,,,,,,,,
10191,10319,,Bech.,443945,1130,Agrostis schraderiana,,,,,,,,,
10191,10319,,Scop.,56761,1130,Agrostis alpina,,,,,,,,,
10191,10319,,L.,1209,1130,Agrostis canina,,,,,,,,,
10191,10319,,L.,1210,1130,Agrostis capillaris,,,,,,,,,
10191,10319,,Boiss. & Reut.,1212,1130,Agrostis castellana,,,,,,,,,
10191,10319,,Trin.,1213,1130,Agrostis clavata,,,,,,,,,
10191,10319,,"(Poir.) P.M.Peterson, Romasch., Soreng & Sylvester",438243,19966,Alpagrostis setacea,,,,,,,,,
10191,10319,,Roth,1221,1130,Agrostis gigantea,,,,,,,,,
10191,10319,,Trin.,1237,1130,Agrostis mertensii,,,,,,,,,
10191,10319,,Willd.,1251,1130,Agrostis pourretii,,,,,,,,,
10191,10319,,All.,1255,1130,Agrostis rupestris,,,,,,,,,
10191,10319,,Willd.,1258,1130,Agrostis scabra,,,,,,,,,
10191,10319,,"(Jord. & Verl.) P.M.Peterson, Romasch., Soreng & Sylvester",443944,19966,Alpagrostis schleicheri,,,,,,,,,
10191,10319,,L.,1260,1130,Agrostis stolonifera,,,,,,,,,
10191,10319,,Schreb.,1268,1130,Agrostis vinealis,,,,,,,,,
10191,10319,,(Mill.) Swingle,1307,1135,Ailanthus altissima,,,,,,,,,
10191,10319,,L.,1323,1138,Aira caryophyllea,,,,,,,,,
10191,10319,,Guss.,1324,1138,Aira cupaniana,,,,,,,,,
10191,10319,,Willd. ex Roem. & Schult.,1325,1138,Aira elegans,,,,,,,,,
10191,10319,,L.,1327,1138,Aira praecox,,,,,,,,,
10191,10319,,(L.) Schreb.,1338,1143,Ajuga chamaepitys,,,,,,,,,
10191,10319,,L.,56765,1143,Ajuga genevensis,,,,,,,,,
10191,10319,,L.,1346,1143,Ajuga pyramidalis,,,,,,,,,
10191,10319,,L.,1347,1143,Ajuga reptans,,,,,,,,,
10191,10319,,L.,1395,1152,Alcea rosea,,,,,,,,,
10191,10319,,Opiz,1397,1153,Alchemilla acutiloba,,,,,,,,,
10191,10319,,Buser,77593,1153,Alchemilla aggregata,,,,,,,,,
10191,10319,,L.,1398,1153,Alchemilla alpina,,,,,,,,,
10191,10319,,Buser,56772,1153,Alchemilla connivens,,,,,,,,,
10191,10319,,Buser,56771,1153,Alchemilla colorata,,,,,,,,,
10191,10319,,Bab.,1399,1153,Alchemilla conjuncta,,,,,,,,,
10191,10319,,Buser,56772,1153,Alchemilla connivens,,,,,,,,,
10191,10319,,Buser,56774,1153,Alchemilla coriacea,,,,,,,,,
10191,10319,,Buser,56775,1153,Alchemilla crinita,,,,,,,,,
10191,10319,,Buser,77597,1153,Alchemilla sericoneura,,,,,,,,,
10191,10319,,Buser,56776,1153,Alchemilla decumbens,,,,,,,,,
10191,10319,,Buser,56777,1153,Alchemilla demissa,,,,,,,,,
10191,10319,,Buser,63460,1153,Alchemilla effusa,,,,,,,,,
10191,10319,,Juz.,124246,1153,Alchemilla erythropoda,,,,,,,,,
10191,10319,,Buser,56778,1153,Alchemilla exigua,,,,,,,,,
10191,10319,,Buser,56779,1153,Alchemilla fallax,,,,,,,,,
10191,10319,,Buser,1402,1153,Alchemilla filicaulis,,,,,,,,,
10191,10319,,Günther & Schummel,56781,1153,Alchemilla fissa,,,,,,,,,
10191,10319,,Buser,56782,1153,Alchemilla flabellata,,,,,,,,,
10191,10319,,Neygenf.,1403,1153,Alchemilla glabra,,,,,,,,,
10191,10319,,Wallr.,1404,1153,Alchemilla glaucescens,,,,,,,,,
10191,10319,,Buser,1405,1153,Alchemilla glomerulans,,,,,,,,,
10191,10319,,Opiz,84516,1153,Alchemilla gracilis,,,,,,,,,
10191,10319,,Buser,1406,1153,Alchemilla grossidens,,,,,,,,,
10191,10319,,Buser,1407,1153,Alchemilla heteropoda,,,,,,,,,
10191,10319,,(Rchb.) Dalla Torre,56788,1153,Alchemilla hoppeana,,,,,,,,,
10191,10319,,Buser,77603,1153,Alchemilla impexa,,,,,,,,,
10191,10319,,Buser,1408,1153,Alchemilla incisa,,,,,,,,,
10191,10319,,Buser,56790,1153,Alchemilla inconcinna,,,,,,,,,
10191,10319,,Janch. ex Rothm.,153729,1153,Alchemilla kerneri,,,,,,,,,
10191,10319,,Buser,56792,1153,Alchemilla lineata,,,,,,,,,
10191,10319,,Buser,77606,1153,Alchemilla longana,,,,,,,,,
10191,10319,,Buser,1402,1153,Alchemilla filicaulis,,,,,,,,,
10191,10319,,(Buser) Rothm.,1410,1153,Alchemilla mollis,,,,,,,,,
10191,10319,,Opiz,1411,1153,Alchemilla monticola,,,,,,,,,
10191,10319,,Buser,56796,1153,Alchemilla obscura,,,,,,,,,
10191,10319,,Buser,56797,1153,Alchemilla obtusa,,,,,,,,,
10191,10319,,Buser,77610,1153,Alchemilla othmarii,,,,,,,,,
10191,10319,,Buser,56798,1153,Alchemilla pallens,,,,,,,,,
10191,10319,,Buser,56800,1153,Alchemilla plicata,,,,,,,,,
10191,10319,,Gand.,446017,1153,Alchemilla plicatula,,,,,,,,,
10191,10319,,H.Lindb. ex Juz.,56801,1153,Alchemilla propinqua,,,,,,,,,
10191,10319,,Günther & Schummel,56781,1153,Alchemilla fissa,,,,,,,,,
10191,10319,,Buser,56803,1153,Alchemilla reniformis,,,,,,,,,
10191,10319,,Buser,56805,1153,Alchemilla rubristipula,,,,,,,,,
10191,10319,,Buser,1412,1153,Alchemilla saxatilis,,,,,,,,,
10191,10319,,Buser,56808,1153,Alchemilla sinuata,,,,,,,,,
10191,10319,,Christ,56809,1153,Alchemilla splendens,,,,,,,,,
10191,10319,,Buser,56810,1153,Alchemilla straminea,,,,,,,,,
10191,10319,,Buser,56811,1153,Alchemilla strigosula,,,,,,,,,
10191,10319,,Buser,1413,1153,Alchemilla subcrenata,,,,,,,,,
10191,10319,,G.C.Westerl.,56812,1153,Alchemilla subglobosa,,,,,,,,,
10191,10319,,Reut.,56813,1153,Alchemilla subsericea,,,,,,,,,
10191,10319,,Buser,56814,1153,Alchemilla tenuis,,,,,,,,,
10191,10319,,Buser ex Dalla Torre & Sarnth.,153731,1153,Alchemilla tirolensis,,,,,,,,,
10191,10319,,Buser,56815,1153,Alchemilla trunciloba,,,,,,,,,
10191,10319,,Buser,56817,1153,Alchemilla versipila,,,,,,,,,
10191,10319,,L.,56819,1153,Alchemilla vulgaris,,,,,,,,,
10191,10319,,L.,56819,1153,Alchemilla vulgaris,,,,,,,,,
10191,10319,,(Buser) Stefánsson,1416,1153,Alchemilla wichurae,,,,,,,,,
10191,10319,,Rothm.,1417,1153,Alchemilla xanthochlora,,,,,,,,,
10191,10319,,L.,52429,7643,Aldrovanda vesiculosa,,,,,,,,,
10191,10319,,Lej.,1449,1163,Alisma gramineum,,,,,,,,,
10191,10319,,With.,1450,1163,Alisma lanceolatum,,,,,,,,,
10191,10319,,L.,1452,1163,Alisma plantago-aquatica,,,,,,,,,
10191,10319,,(M.Bieb.) Cavara & Grande,1500,1171,Alliaria petiolata,,,,,,,,,
10191,10319,,L.,56821,1174,Allium angulosum,,,,,,,,,
10191,10319,,L.,1509,1174,Allium ascalonicum,,,,,,,,,
10191,10319,,Waldst. & Kit.,153732,1174,Allium atropurpureum,,,,,,,,,
10191,10319,,Boiss.,56445,1174,Allium atroviolaceum,,,,,,,,,
10191,10319,,L.,1514,1174,Allium carinatum,,,,,,,,,
10191,10319,,L.,1516,1174,Allium cepa,,,,,,,,,
10191,10319,,Thore,77616,1174,Allium ericetorum,,,,,,,,,
10191,10319,,L.,1528,1174,Allium fistulosum,,,,,,,,,
10191,10319,,L.,1529,1174,Allium flavum,,,,,,,,,
10191,10319,,L.,56822,1174,Allium lineare,,,,,,,,,
10191,10319,,L.,1544,1174,Allium moly,,,,,,,,,
10191,10319,,L.,1548,1174,Allium nigrum,,,,,,,,,
10191,10319,,L.,1551,1174,Allium oleraceum,,,,,,,,,
10191,10319,,(M.Bieb.) G.Don,1554,1174,Allium paradoxum,,,,,,,,,
10191,10319,,Georgi,438286,1174,Allium porrum,,,,,,,,,
10191,10319,,L.,1564,1174,Allium sativum,,,,,,,,,
10191,10319,,L.,1566,1174,Allium schoenoprasum,,,,,,,,,
10191,10319,,L.,1567,1174,Allium scorodoprasum,,,,,,,,,
10191,10319,,L.,1567,1174,Allium scorodoprasum,,,,,,,,,
10191,10319,,L.,102459,1174,Allium senescens,,,,,,,,,
10191,10319,,L.,102459,1174,Allium senescens,,,,,,,,,
10191,10319,,L.,1570,1174,Allium sphaerocephalon,,,,,,,,,
10191,10319,,Jacq.,77618,1174,Allium suaveolens,,,,,,,,,
10191,10319,,L.,1580,1174,Allium triquetrum,,,,,,,,,
10191,10319,,L.,1583,1174,Allium ursinum,,,,,,,,,
10191,10319,,L.,1584,1174,Allium victorialis,,,,,,,,,
10191,10319,,L.,1585,1174,Allium vineale,,,,,,,,,
10191,10319,,(Loisel.) Duby,1645,1185,Alnus cordata,,,,,,,,,
10191,10319,,(L.) Gaertn.,1648,1185,Alnus glutinosa,,,,,,,,,
10191,10319,,(L.) Moench,1650,1185,Alnus incana,,,,,,,,,
10191,10319,,(Ehrh.) K.Koch,1644,1185,Alnus alnobetula,,,,,,,,,
10191,10319,,Sobol.,1687,1189,Alopecurus aequalis,,,,,,,,,
10191,10319,,Poir.,51162,1189,Alopecurus arundinaceus,,,,,,,,,
10191,10319,,Gouan,1688,1189,Alopecurus bulbosus,,,,,,,,,
