ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
10060,10177,10172,(Burm.f.) Kral,438102,13710,Abildgaardia ovata,,1,0,0,,,,,
10060,10177,10172,(Gillies ex Hook. & Arn.) Donnell,297347,14665,Callianthe picta,,1,0,0,,,,,
10060,10177,10172,(Gillies ex Hook. & Arn.) Seigler & Ebinger,53687,7253,Senegalia bonariensis,,1,0,0,,,,,
10060,10177,10172,(Molina) Seigler & Ebinger,53689,7256,Vachellia caven,,1,0,0,,,,,
10060,10177,10172,(L.) Wight & Arn.,436114,7256,Vachellia farnesiana,,1,0,0,,,,,
10060,10177,10172,(Griseb.) Seigler & Ebinger,298498,7253,Senegalia praecox,,1,0,0,,,,,
10060,10177,10172,Müll.Arg.,49021,965,Acalypha communis,,1,0,0,,,,,
10060,10177,10172,Spreng.,49022,965,Acalypha gracilis,,1,0,0,,,,,
10060,10177,10172,Müll.Arg.,49024,965,Acalypha multicaulis,,1,0,0,,,,,
10060,10177,10172,Baill.,112695,965,Acalypha senilis,,1,0,0,,,,,
10060,10177,10172,(Hook. & Arn.) R.M.King & H.Rob.,72174,9271,Acanthostyles buniifolius,,1,0,0,,,,,
10060,10177,10172,(Mart. & Eichler) Griseb.,103286,9250,Acanthosyris spinescens,,1,0,0,,,,,
10060,10177,10172,L.,418,979,Achillea millefolium,,0,0,0,,,,,
10060,10177,10172,(Weinm.) DC.,48920,985,Achyrocline flaccida,,1,0,0,,,,,
10060,10177,10172,Less.,103287,990,Acicarpha procumbens,,1,0,0,,,,,
10060,10177,10172,Juss.,472,990,Acicarpha tribuloides,,1,0,0,,,,,
10060,10177,10172,(Kunth) Dandy,593,1014,Acroceras zizanioides,,1,0,0,,,,,
10060,10177,10172,(Cham.) DC.,48970,1052,Adenocalymma marginatum,,1,0,0,,,,,
10060,10177,10172,(Poir.) DC.,448239,7587,Adesmia bicolora,,1,0,0,,,,,
10060,10177,10172,Davyt & Izaguirre,105796,7587,Adesmia globosa,,1,0,0,,,,,
10060,10177,10172,Vogel,102854,7587,Adesmia incana,,1,0,0,,,,,
10060,10177,10172,Vogel,102854,7587,Adesmia incana,,1,0,0,,,,,
10060,10177,10172,DC.,103294,7587,Adesmia punctata,,1,0,0,,,,,
10060,10177,10172,Herter,105797,7587,Adesmia securigerifolia,,1,0,0,,,,,
10060,10177,10172,(Sw.) Christenh.,444725,3727,Hemionitis chlorophylla,,1,0,0,,,,,
10060,10177,10172,Hook.,72203,1069,Adiantum digitatum,,1,0,0,,,,,
10060,10177,10172,C.Presl,836,1069,Adiantum raddianum,,1,0,0,,,,,
10060,10177,10172,Rudd,53661,1095,Aeschynomene denticulata,,1,0,0,,,,,
10060,10177,10172,"(Poir.) D.B.O.S.Cardoso, P.L.R.Moraes & H.C.Lima",445507,19964,Ctenodon histrix,,1,0,0,,,,,
10060,10177,10172,Bacigalupo & Vanni,105266,1095,Aeschynomene lorentziana,,1,0,0,,,,,
10060,10177,10172,Vogel,53662,1095,Aeschynomene montevidensis,,1,0,0,,,,,
10060,10177,10172,(Cham. & Schltdl.) D'Arcy,102887,1105,Agalinis communis,,1,0,0,,,,,
10060,10177,10172,(Nees) Pilg.,80667,9860,Agenium villosum,,1,0,0,,,,,
10060,10177,10172,Spreng. ex Nees,92097,1130,Agrostis montevidensis,,1,0,0,,,,,
10060,10177,10172,(Mart.) Barneby & J.W.Grimes,71625,1150,Albizia inundata,,1,0,0,,,,,
10060,10177,10172,"(A.St.-Hil., A.Juss. & Cambess.) Radlk.",1612,1179,Allophylus edulis,,1,0,0,,,,,
10060,10177,10172,(Gillies & Hook.) Tronc.,53862,1190,Aloysia gratissima,,1,0,0,,,,,
10060,10177,10172,A.St.-Hil.,1834,1202,Alternanthera paronychioides,,1,0,0,,,,,
10060,10177,10172,Briq.,53553,1202,Alternanthera reineckii,,1,0,0,,,,,
10060,10177,10172,L.,1924,1216,Amaranthus albus,,0,0,0,,,,,
10060,10177,10172,L.,1959,1216,Amaranthus viridis,,1,0,0,,,,,
10060,10177,10172,Spreng.,1996,1225,Ambrosia tenuifolia,,1,0,0,,,,,
10060,10177,10172,Willd.,2016,1233,Ammannia auriculata,,1,0,0,,,,,
10060,10177,10172,Mathias & Constance,105273,11041,Ammoselinum rosengurtii,,1,0,0,,,,,
10060,10177,10172,(L.) U.Manns & Anderb.,438386,4439,Lysimachia arvensis,,0,0,0,,,,,
10060,10177,10172,(Mart.) G.Don,49231,7319,Anchietea pyrifolia,,1,0,0,,,,,
10060,10177,10172,Nees,2236,1297,Andropogon lateralis,,1,0,0,,,,,
10060,10177,10172,(Hack.) Hack.,2240,1297,Andropogon selloanus,,1,0,0,,,,,
10060,10177,10172,(Spreng.) Nees,2243,1297,Andropogon ternatus,,1,0,0,,,,,
10060,10177,10172,(N.E.Br.) O'Donell,53635,1322,Aniseia argentina,,1,0,0,,,,,
10060,10177,10172,(Kunth) Nees,25457,4252,Leptocoryphium lanatum,,1,0,0,,,,,
10060,10177,10172,H.Wolff,103308,1389,Apium sellowianum,,1,0,0,,,,,
10060,10177,10172,Handro,105279,1411,Arachis burkartii,,1,0,0,,,,,
10060,10177,10172,Benth.,105281,1411,Arachis villosa,,1,0,0,,,,,
10060,10177,10172,(Hook. & Arn.) Steud.,71882,1420,Araujia angustifolia,,1,0,0,,,,,
10060,10177,10172,(Spreng.) G.Don,105282,1420,Araujia megapotamica,,1,0,0,,,,,
10060,10177,10172,Brot.,2888,1420,Araujia sericifera,,1,0,0,,,,,
10060,10177,10172,Lindm.,53785,1465,Aristida circinalis,,1,0,0,,,,,
10060,10177,10172,Roseng. & Izag.,110055,1465,Aristida echinulata,,1,0,0,,,,,
10060,10177,10172,Cav.,103311,1465,Aristida murina,,1,0,0,,,,,
10060,10177,10172,Arechav.,102940,1465,Aristida spegazzinii,,1,0,0,,,,,
