ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
27,248,246,(Nees) Nees,10409,2375,Codonacanthus pauciflorus,,1,,0,,,,,
27,248,246,(L.) Juss.,14213,2830,Dicliptera chinensis,,1,,0,,,,,
27,248,246,Blume,24131,4027,Justicia procumbens,,1,,0,,,,,
27,248,246,Makino,438144,976,Acer insulare,,1,,0,,,,,
27,248,246,(Siebold & Zucc.) Planch. ex Miq.,675,1028,Actinidia rufa,,1,,0,,,,,
27,248,246,(L.) Thulin,441305,20067,Trigastrotheca pentaphylla,,1,,0,,,,,
27,248,246,(Pall.) Kuntze,442779,6726,Tetragonia tetragonoides,,1,,0,,,,,
27,248,246,Ohwi,1360,1146,Alangium premnifolium,,1,,0,,,,,
27,248,246,A.Braun & C.D.Bouché,1448,1163,Alisma canaliculatum,,1,,0,,,,,
27,248,246,Miq.,39561,6106,Sagittaria pygmaea,,1,,0,,,,,
27,248,246,L.,39565,6106,Sagittaria trifolia,,1,,0,,,,,
27,248,246,L.,430,984,Achyranthes aspera,,1,,0,,,,,
27,248,246,Blume,431,984,Achyranthes bidentata,,1,,0,,,,,
27,248,246,(Hook.f. ex Maxim.) Mears,399044,1746,Blutaparon wrightii,,1,,0,,,,,
27,248,246,L.,11631,2551,Crinum asiaticum,,1,,0,,,,,
27,248,246,(L.) Merr.,5959,1848,Brucea javanica,,1,,0,,,,,
27,248,246,(L.) Kuntze,45382,6849,Toxicodendron succedaneum,,1,,0,,,,,
27,248,246,(Hook. & Arn.) Druce,2485,1335,Anodendron affine,,1,,0,,,,,
27,248,246,L.,8940,2144,Cerbera manghas,,1,,0,,,,,
27,248,246,(Dennst.) Mabb.,32158,5311,Parsonsia alboflavescens,,1,,0,,,,,
27,248,246,(Siebold & Zucc.) Nakai,45396,6853,Trachelospermum asiaticum,,1,,0,,,,,
27,248,246,Koidz.,23124,3938,Ilex dimorphophylla,,1,,0,,,,,
27,248,246,Hemsl.,23129,3938,Ilex ficoidea,,1,,0,,,,,
27,248,246,Hayata,23136,3938,Ilex goshiensis,,1,,0,,,,,
27,248,246,Thunb.,23147,3938,Ilex integra,,1,,0,,,,,
27,248,246,Loes.,23158,3938,Ilex liukiuensis,,1,,0,,,,,
27,248,246,Oliv.,23162,3938,Ilex macrocarpa,,1,,0,,,,,
27,248,246,Loes.,23167,3938,Ilex maximowicziana,,1,,0,,,,,
27,248,246,Thunb.,23186,3938,Ilex rotunda,,1,,0,,,,,
27,248,246,(Lour.) G.Don,1658,1186,Alocasia cucullata,,1,,0,,,,,
27,248,246,(G.Lodd.) Spach,1666,1186,Alocasia odora,,1,,0,,,,,
27,248,246,(Makino) Makino,2047,1244,Amorphophallus kiusianus,,1,,0,,,,,
27,248,246,Koidz.,3187,1462,Arisaema heterocephalum,,1,,0,,,,,
27,248,246,(Thunb.) Schott,3191,1462,Arisaema ringens,,1,,0,,,,,
27,248,246,(Blume) Schott,34332,5559,Pinellia tripartita,,1,,0,,,,,
27,248,246,Schott,46062,6998,Typhonium roxburghii,,1,,0,,,,,
27,248,246,(Miq.) Seem.,2861,1417,Aralia elata,,1,,0,,,,,
27,248,246,(Thunb.) Makino ex H.Hara,13788,2775,Dendropanax trifidus,,1,,0,,,,,
27,248,246,(Thunb.) Decne. & Planch.,18315,3303,Fatsia japonica,,1,,0,,,,,
27,248,246,(L.) Y.F.Deng,442371,20102,Heptapleurum heptaphyllum,,1,,0,,,,,
27,248,246,Siebold & Zucc.,3280,1466,Aristolochia debilis,,1,,0,,,,,
27,248,246,Hatus.,3303,1466,Aristolochia liukiuensis,,1,,0,,,,,
27,248,246,F.Maek. ex Hatus. & Yamahata,3571,1498,Asarum celsum,,1,,0,,,,,
