ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
5,61,60,(Haw.) Schwantes,8278,2041,Carpobrotus virescens,,1,,0,,,,,
5,61,60,L.,28618,4651,Mesembryanthemum crystallinum,,0,,1,,,,,
5,61,60,(Mill.) Fuss,33044,5428,Petroselinum crispum,,0,,1,,,,,
5,61,60,L.,16803,3164,Erigeron bonariensis,,0,,1,,,,,
5,61,60,L.,42135,6431,Sonchus oleraceus,,0,,1,,,,,
5,61,60,Scop.,6503,1906,Cakile maritima,,0,,1,,,,,
5,61,60,(L.) J.Presl & C.Presl,42372,6461,Spergularia rubra,,0,,1,,,,,
5,61,60,Poir.,4277,1560,Atriplex cinerea,,1,,0,,,,,
5,61,60,R.Br.,16321,3105,Enchylaena tomentosa,,1,,0,,,,,
5,61,60,(Nees) K.A.Sheph. & Paul G.Wilson,440370,6699,Tecticornia halocnemoides,,1,,0,,,,,
5,61,60,R.Br.,45036,6781,Threlkeldia diffusa,,1,,0,,,,,
5,61,60,(Besser ex Rchb.) Conran,79688,4509,Malva weinmanniana,,1,,0,,,,,
5,61,60,R.Br.,29631,4836,Myoporum insulare,,1,,0,,,,,
5,61,60,Pott ex Link,4384,1581,Avena barbata,,0,,1,,,,,
5,61,60,(L.) C.E.Hubb.,32051,5278,Parapholis incurva,,0,,1,,,,,
5,61,60,R.A.W.Herrm.,41354,6341,Setaria dielsii,,1,,0,,,,,
5,61,60,L.,41975,6417,Solanum lycopersicum,,0,,1,,,,,
5,61,60,L.,41996,6417,Solanum nigrum,,0,,1,,,,,
5,61,60,DC.,30385,5003,Nitraria billardierei,,1,,0,,,,,
