ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
27,249,247,(Nees) Nees,10409,2375,Codonacanthus pauciflorus,,1,,0,,,,,
27,249,247,Blume,24131,4027,Justicia procumbens,,1,,0,,,,,
27,249,247,Hayata,43174,6588,Strobilanthes flexicaulis,,1,,0,,,,,
27,249,247,(L.) Thulin,441305,20067,Trigastrotheca pentaphylla,,1,,0,,,,,
27,249,247,(Pall.) Kuntze,442779,6726,Tetragonia tetragonoides,,1,,0,,,,,
27,249,247,A.Braun & C.D.Bouché,1448,1163,Alisma canaliculatum,,1,,0,,,,,
27,249,247,Miq.,39561,6106,Sagittaria pygmaea,,1,,0,,,,,
27,249,247,L.,39565,6106,Sagittaria trifolia,,1,,0,,,,,
27,249,247,Blume,431,984,Achyranthes bidentata,,1,,0,,,,,
27,249,247,(Hook.f. ex Maxim.) Mears,399044,1746,Blutaparon wrightii,,1,,0,,,,,
27,249,247,L.,11631,2551,Crinum asiaticum,,1,,0,,,,,
27,249,247,W.Hayw.,441011,4427,Lycoris traubii,,1,,0,,,,,
27,249,247,(L.) Kuntze,45382,6849,Toxicodendron succedaneum,,1,,0,,,,,
27,249,247,L.,8940,2144,Cerbera manghas,,1,,0,,,,,
27,249,247,(Dennst.) Mabb.,32158,5311,Parsonsia alboflavescens,,1,,0,,,,,
27,249,247,(Siebold & Zucc.) Nakai,45396,6853,Trachelospermum asiaticum,,1,,0,,,,,
27,249,247,(G.Lodd.) Spach,1666,1186,Alocasia odora,,1,,0,,,,,
27,249,247,(Thunb.) Schott,3191,1462,Arisaema ringens,,1,,0,,,,,
27,249,247,(Blume) Schott,34332,5559,Pinellia tripartita,,1,,0,,,,,
27,249,247,Schott,46062,6998,Typhonium roxburghii,,1,,0,,,,,
27,249,247,(Miq.) Seem.,2861,1417,Aralia elata,,1,,0,,,,,
27,249,247,(Thunb.) Makino ex H.Hara,13788,2775,Dendropanax trifidus,,1,,0,,,,,
27,249,247,(Thunb.) Decne. & Planch.,18315,3303,Fatsia japonica,,1,,0,,,,,
27,249,247,(Miq.) Paul,21040,3681,Hedera rhombea,,1,,0,,,,,
27,249,247,(L.) Y.F.Deng,442371,20102,Heptapleurum heptaphyllum,,1,,0,,,,,
27,249,247,Hatus.,3303,1466,Aristolochia liukiuensis,,1,,0,,,,,
27,249,247,(L.f.) R.Br.,22395,3855,Hoya carnosa,,1,,0,,,,,
27,249,247,R.Br.,27868,4554,Marsdenia tinctoria,,1,,0,,,,,
27,249,247,(Maxim.) Franch. & Sav.,46860,7078,Vincetoxicum tanakae,,1,,0,,,,,
27,249,247,Makino,4558,1609,Balanophora tobiracola,,1,,0,,,,,
27,249,247,(Blanco) Mabb.,428486,3712,Heliotropium arboreum,,1,,0,,,,,
27,249,247,(J.Jacq.) Druce,438759,1789,Bothriospermum zeylanicum,,1,,0,,,,,
27,249,247,(DC.) Holub,438813,15968,Aegonychon zollingeri,,1,,0,,,,,
27,249,247,Lam.,15771,3048,Ehretia microphylla,,1,,0,,,,,
27,249,247,G.Forst.,10981,2471,Cordia dichotoma,,1,,0,,,,,
27,249,247,Forssk.,12775,2654,Cynoglossum lanceolatum,,1,,0,,,,,
27,249,247,R.Br.,15760,3048,Ehretia acuminata,,1,,0,,,,,
27,249,247,Wall.,15770,3048,Ehretia macrophylla,,1,,0,,,,,
27,249,247,(Trevir.) Benth. ex Hemsl.,45781,6922,Trigonotis peduncularis,,1,,0,,,,,
27,249,247,(Thunb.) A.DC.,750,1060,Adenophora triphylla,,1,,0,,,,,
27,249,247,(Thunb.) A.DC.,47151,7103,Wahlenbergia marginata,,1,,0,,,,,
