ref_ID,list_ID,entity_ID,work_author,work_ID,genus_ID,work_species,questionable,native,quest_native,naturalized,endemic_ref,quest_end_ref,endemic_list,quest_end_list,cons_status
30,299,297,(Burm.f.) Nees,2222,1295,Andrographis paniculata,0,0,0,,0,0,0,0,
30,299,297,(L.) T.Anderson,4155,1542,Asystasia gangetica,0,0,0,,0,0,0,0,
30,299,297,L.,4673,1631,Barleria cristata,0,0,0,,0,0,0,0,
30,299,297,Lindl.,4675,1631,Barleria lupulina,0,0,0,,0,0,0,0,
30,299,297,L.,4678,1631,Barleria prionitis,0,0,0,,0,0,0,0,
30,299,297,(Jacq.) Juss.,14220,2830,Dicliptera martinicensis,0,1,0,,1,0,0,0,
30,299,297,(Jacq.) J.F.Gmel.,440699,16207,Dianthera pectoralis,0,0,0,,0,0,0,0,
30,299,297,(Lam.) Griseb.,440705,16207,Dianthera secunda,0,1,0,,0,0,0,0,
30,299,297,(Jacq.) Kuntze,30658,5070,Odontonema nitidum,0,1,0,,1,0,0,0,
30,299,297,Poir.,39284,6068,Ruellia elegans,0,0,0,,0,0,0,0,
30,299,297,L.,39309,6068,Ruellia tuberosa,0,1,0,,0,0,0,0,
30,299,297,Ruiz & Pav.,76353,6128,Sanchezia oblonga,0,0,0,,0,0,0,0,
30,299,297,(Vahl) R.Br. ex Griseb.,25220,4225,Lepidagathis alopecuroidea,0,1,0,,0,0,0,0,
30,299,297,Bojer ex Sims,45067,6787,Thunbergia alata,0,0,0,,0,0,0,0,
30,299,297,Roxb.,45073,6787,Thunbergia fragrans,0,0,0,,0,0,0,0,
30,299,297,Mill.,1084,1115,Agave karatto,0,1,0,,1,0,0,0,
30,299,297,Perrine,1096,1115,Agave sisalana,0,0,0,,0,0,0,0,
30,299,297,(L.) L.,41345,6340,Sesuvium portulacastrum,0,1,0,,0,0,0,0,
30,299,297,L.,45478,6878,Trianthema portulacastrum,0,1,0,,0,0,0,0,
30,299,297,(Spreng.) Fassett,15682,3030,Echinodorus berteroi,0,1,0,,0,0,0,0,
30,299,297,L.,430,984,Achyranthes aspera,0,0,0,,0,0,0,0,
30,299,297,L.,430,984,Achyranthes aspera,0,0,0,,0,0,0,0,
30,299,297,(L.) Kuntze,1814,1202,Alternanthera brasiliana,0,1,0,,0,0,0,0,
30,299,297,Kunth,1816,1202,Alternanthera caracasana,0,1,0,,0,0,0,0,
30,299,297,A.St.-Hil.,1834,1202,Alternanthera paronychioides,0,1,0,,0,0,0,0,
30,299,297,(L.) R.Br. ex DC.,1843,1202,Alternanthera sessilis,0,1,0,,0,0,0,0,
30,299,297,L.,1933,1216,Amaranthus caudatus,0,0,0,,0,0,0,0,
30,299,297,Schltdl.,1934,1216,Amaranthus crassipes,0,1,0,,0,0,0,0,
30,299,297,Hornem.,438347,1216,Amaranthus tortuosus,0,1,0,,0,0,0,0,
30,299,297,L.,1948,1216,Amaranthus polygonoides,0,1,0,,0,0,0,0,
30,299,297,L.,1954,1216,Amaranthus spinosus,0,1,0,,0,0,0,0,
30,299,297,L.,1959,1216,Amaranthus viridis,0,0,0,,0,0,0,0,
30,299,297,(L.) Mears,5379,1746,Blutaparon vermiculare,0,1,0,,0,0,0,0,
30,299,297,L.,20074,3524,Gomphrena globosa,0,0,0,,0,0,0,0,
30,299,297,Euphrasén,23495,3960,Iresine angustifolia,0,1,0,,0,0,0,0,
30,299,297,Humb. & Bonpl. ex Willd.,23496,3960,Iresine diffusa,0,1,0,,0,0,0,0,
30,299,297,Sw.,26382,4349,Lithophila muscoides,0,1,0,,0,0,0,0,
30,299,297,(Linden ex Planch.) Christenh. & Byng,440074,14185,Urceolina amazonica,0,0,0,,0,0,0,0,
30,299,297,(Lam.) Voss,22151,3800,Hippeastrum puniceum,0,0,0,,0,0,0,0,
30,299,297,(L.) Herb.,22683,3894,Hymenocallis caribaea,0,1,0,,0,0,0,0,
30,299,297,(Salisb.) Salisb.,22684,3894,Hymenocallis fragrans,0,1,0,,1,0,0,0,
30,299,297,Baker,47730,7203,Zephyranthes citrina,0,0,0,,0,0,0,0,
30,299,297,Traub,47736,7203,Zephyranthes puertoricensis,0,1,0,,0,0,0,0,
30,299,297,L.,2142,1271,Anacardium occidentale,0,0,0,,0,0,0,0,
30,299,297,L.,27694,4519,Mangifera indica,0,0,0,,0,0,0,0,
30,299,297,L.,42569,6493,Spondias mombin,0,1,0,,0,0,0,0,
30,299,297,L.,42571,6493,Spondias purpurea,0,0,0,,0,0,0,0,
30,299,297,L.,2462,1333,Annona glabra,0,1,0,,0,0,0,0,
30,299,297,L.,2470,1333,Annona muricata,0,0,0,,0,0,0,0,
30,299,297,L.,2474,1333,Annona reticulata,0,0,0,,0,0,0,0,
30,299,297,L.,2479,1333,Annona squamosa,0,0,0,,0,0,0,0,
30,299,297,L.,2307,1307,Anethum graveolens,0,0,0,,0,0,0,0,
30,299,297,(Pers.) Sprague ex Britton & P.Wilson,12632,2640,Cyclospermum leptophyllum,0,0,0,,0,0,0,0,
30,299,297,L.,17037,3192,Eryngium foetidum,0,1,0,,0,0,0,0,
30,299,297,Mill.,18773,3346,Foeniculum vulgare,0,0,0,,0,0,0,0,
30,299,297,L.,1463,1167,Allamanda cathartica,0,0,0,,0,0,0,0,
