ref_ID,type,subset,native_indicated,natural_indicated,end_ref,restricted,taxon_ID,list_ID,end_list,entity_ID,geo_entity,suit_geo,entity_class,entity_type
5,Checklist,native and naturalized,1,1,0,0,2,42,0,41,East Mangrove Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,43,0,42,Eastern Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,44,0,43,Eagle Point Islet,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,45,0,44,Dick Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,46,0,45,Dakin Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,47,0,46,Beacon Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,48,0,47,Barge Rock,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,49,0,48,Alcatraz Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,50,0,49,Akerstorm Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,51,0,50,Wooded Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,52,0,51,White Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,53,0,52,White Bank,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,54,0,53,Tapani Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,55,0,54,Suomi Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,56,0,55,Stokes Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,57,0,56,Shearwater Islet,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,58,0,57,Shearwater Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,59,0,58,Serventy Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,60,0,59,"Sandy Island, Easter Group",1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,61,0,60,Roma Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,62,0,61,Rat Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,63,0,62,Nitraria Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,64,0,63,Morley Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,65,0,64,Little Stokes Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,66,0,65,Little Roma Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,67,0,66,Little Rat Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,68,0,67,Little North Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,69,0,68,Leo Islet 2,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,70,0,69,Leo Islet 1,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,71,0,70,Leo Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,72,0,71,Landscope Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,73,0,72,Keru Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,74,0,73,Joe Smith Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,75,0,74,Helms Islet 2,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,76,0,75,Helms Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,77,0,76,Gilbert Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,78,0,77,Gibson Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,79,0,78,Dry Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,80,0,79,Crake Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,81,0,80,"Campbell Island, Houtman",1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,82,0,81,Bynoe Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,83,0,82,Bushby Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,84,0,83,Alexander Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,85,0,84,Uncle Margie Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,86,0,85,Two Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,87,0,86,Travia island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,88,0,87,Three Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,89,0,88,The Coral Patch,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,90,0,89,Sweet Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,91,0,90,Stick Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,92,0,91,Square Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,93,0,92,Sid Liddon Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,94,0,93,Ship rock,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,95,0,94,Seven Islet,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,96,0,95,Seven Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,97,0,96,"Sandy Island, Pelsaert Group",1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,98,0,97,Rotondella Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,99,0,98,Robertson Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,100,0,99,Post office Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,101,0,100,Pelsaert Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,102,0,101,One Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,103,0,102,Nook Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,104,0,103,Newman Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,105,0,104,Murray Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,106,0,105,Middle Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,107,0,106,Little Jackson Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,108,0,107,Lagoon Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,109,0,108,Jon Jim Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,110,0,109,Jackson Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,111,0,110,Iris Refuge Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,112,0,111,Hummock Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,113,0,112,Gun Islet,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,114,0,113,Gun Island,1,Island,
