taxon_ID,taxon_name,taxon_author,taxon_lvl,lft,rgt
45,Zygophyllales,Link,order,29894,29965
46,Fabales,Bromhead,order,27628,29893
47,Rosales,Bercht. & J.Presl,order,26800,27627
48,Fagales,Engl.,order,26696,26799
49,Cucurbitales,Juss. ex Bercht. & J.Presl,order,26350,26695
50,Celastrales,Link,order,26082,26349
51,Oxalidales,Bercht. & J.Presl,order,25880,26081
52,Malpighiales,Juss. ex Bercht. & J.Presl,order,23906,25879
53,Geraniales,Juss. ex Bercht. & J.Presl,order,23864,23905
54,Myrtales,Juss. ex Bercht. & J.Presl,order,22788,23863
55,Crossosomatales,Takht. ex Reveal,order,22742,22787
56,Picramniales,Doweld,order,22730,22741
57,Huerteales,Doweld,order,22708,22729
58,Sapindales,Juss. ex Bercht. & J.Presl,order,21466,22707
59,Malvales,Juss. ex Bercht. & J.Presl,order,20590,21465
60,Brassicales,Bromhead,order,19460,20589
61,Berberidopsidales,Doweld,order,4973,4978
62,Santalales,R.Br. ex Bercht. & J.Presl,order,4505,4972
63,Caryophyllales,Juss. ex Bercht. & J.Presl,order,2361,4504
64,Cornales,Link,order,18936,19073
65,Ericales,Bercht. & J.Presl,order,17826,18935
66,Icacinales,Tiegh.,order,17740,17825
67,Metteniusales,Takht.,order,17734,17739
68,Garryales,Mart.,order,17722,17733
69,Gentianales,Juss. ex Bercht. & J.Presl,order,14908,17721
70,Boraginales,Juss. ex Bercht. & J.Presl,order,14488,14907
71,Vahliales,Doweld,order,14482,14487
72,Solanales,Juss. ex Bercht. & J.Presl,order,14022,14481
73,Lamiales,Bromhead,order,11096,14021
74,Aquifoliales,Senft,order,11032,11095
75,Asterales,Link,order,6496,11031
76,Escalloniales,Link,order,6476,6495
77,Bruniales,Dumort.,order,6444,6475
78,Paracryphiales,Takht. ex Reveal,order,6434,6443
79,Dipsacales,Juss. ex Bercht. & J.Presl,order,6298,6433
80,Apiales,Nakai,order,4980,6297
81,Amborellaceae,Pichon,family,1554,1557
82,Hydatellaceae,U.Hamann,family,1546,1551
83,Cabombaceae,Rich. ex A.Rich.,family,1540,1545
84,Nymphaeaceae,Salisb.,family,1518,1539
85,Austrobaileyaceae,Croizat,family,1512,1515
86,Trimeniaceae,Gibbs,family,1508,1511
87,Schisandraceae,Blume,family,1500,1507
88,Canellaceae,Mart.,family,38190,38201
89,Winteraceae,R.Br. ex Lindl.,family,38170,38189
90,Saururaceae,Rich. ex T.Lestib.,family,38158,38167
91,Piperaceae,Giseke,family,38118,38157
92,Aristolochiaceae,Juss.,family,38088,38117
93,Myristicaceae,R.Br.,family,38040,38085
94,Magnoliaceae,Juss.,family,38018,38039
95,Degeneriaceae,I.W.Bailey & A.C.Sm.,family,38014,38017
96,Himantandraceae,Diels,family,38010,38013
97,Eupomatiaceae,Orb.,family,38006,38009
98,Annonaceae,Juss.,family,37708,38005
99,Calycanthaceae,Lindl.,family,37696,37705
100,Siparunaceae,Schodde,family,37686,37695
101,Gomortegaceae,Reiche,family,37682,37685
102,Atherospermataceae,R.Br.,family,37666,37681
103,Hernandiaceae,Blume,family,37654,37665
104,Monimiaceae,Juss.,family,37592,37653
105,Lauraceae,Juss.,family,37412,37591
106,Chloranthaceae,R.Br. ex Sims,family,1567,1576
107,Acoraceae,Martinov,family,37404,37407
108,Araceae,Juss.,family,37106,37401
109,Tofieldiaceae,Takht.,family,37094,37105
110,Alismataceae,Vent.,family,37054,37093
111,Butomaceae,Mirb.,family,37050,37053
112,Hydrocharitaceae,Juss.,family,37014,37049
113,Scheuchzeriaceae,F.Rudolphi,family,37010,37013
114,Aponogetonaceae,Planch.,family,37004,37009
115,Juncaginaceae,Rich.,family,36996,37003
116,Maundiaceae,Nakai,family,36992,36995
117,Zosteraceae,Dumort.,family,36984,36991
118,Potamogetonaceae,Bercht. & J.Presl,family,36970,36983
119,Posidoniaceae,Vines,family,36966,36969
120,Ruppiaceae,Horan.,family,36962,36965
121,Cymodoceaceae,Vines,family,36948,36961
122,Petrosaviaceae,Hutch.,family,36940,36945
123,Nartheciaceae,Fr. ex Bjurzon,family,36926,36937
124,Burmanniaceae,Blume,family,36890,36925
125,Dioscoreaceae,R.Br.,family,36874,36889
126,Triuridaceae,Gardner,family,36852,36871
127,Velloziaceae,J.Agardh,family,36836,36851
128,Stemonaceae,Caruel,family,36826,36835
129,Cyclanthaceae,Poit. ex A.Rich.,family,36800,36825
130,Pandanaceae,R.Br.,family,36786,36799
131,Campynemataceae,Dumort.,family,36778,36783
132,Corsiaceae,Becc.,family,36770,36777
133,Melanthiaceae,Batsch ex Borkh.,family,36730,36769
134,Petermanniaceae,Hutch,family,36726,36729
135,Alstroemeriaceae,Dumort.,family,36712,36725
136,Colchicaceae,DC.,family,36674,36711
137,Philesiaceae,Dumort.,family,36668,36673
138,Ripogonaceae,Conran & Clifford,family,36662,36667
139,Smilacaceae,Vent.,family,36650,36661
140,Liliaceae,Juss.,family,36604,36649
141,Orchidaceae,Juss.,family,34460,36601
142,Boryaceae,M.W.Chase et al .,family,34454,34459
143,Blandfordiaceae,R.Dahlgren & Clifford,family,34450,34453
144,Asteliaceae,Dumort.,family,34440,34449
145,Lanariaceae,H.Huber ex R.Dahlgren,family,34436,34439
146,Hypoxidaceae,R.Br.,family,34408,34435
147,Doryanthaceae,R.Dahlgren & Clifford,family,34404,34407
148,Ixioliriaceae,Nakai,family,34400,34403
149,Tecophilaeaceae,Leyb.,family,34380,34399
150,Iridaceae,Juss.,family,34188,34379
151,Xeronemataceae,M.W.Chase et al.,family,34184,34187
152,Asphodelaceae,Juss.,family,34088,34183
153,Amaryllidaceae,J.St.-Hil.,family,33896,34087
154,Asparagaceae,Juss.,family,33576,33895
155,Dasypogonaceae,Dumort.,family,33564,33573
156,Arecaceae,Bercht. & J.Presl,family,33138,33563
157,Hanguanaceae,Airy Shaw,family,33132,33135
158,Commelinaceae,Mirb.,family,33034,33131
159,Philydraceae,Link,family,33026,33033
160,Pontederiaceae,Kunth,family,33012,33025
161,Haemodoraceae,R.Br.,family,32980,33011
162,Strelitziaceae,Hutch.,family,32970,32977
163,Lowiaceae,Ridl.,family,32966,32969
164,Heliconiaceae,Vines,family,32962,32965
165,Musaceae,Juss.,family,32954,32961
166,Cannaceae,Juss.,family,32950,32953
167,Marantaceae,R.Br.,family,32888,32949
168,Costaceae,Nakai,family,32870,32887
169,Zingiberaceae,Martinov,family,32714,32869
170,Typhaceae,Juss.,family,32706,32711
171,Bromeliaceae,Juss.,family,32530,32705
172,Rapateaceae,Dumort.,family,32494,32529
173,Xyridaceae,C.Agardh,family,32482,32493
174,Eriocaulaceae,Martinov,family,32458,32481
175,Mayacaceae,Kunth,family,32454,32457
176,Thurniaceae,Engl.,family,32448,32453
177,Juncaceae,Juss.,family,32426,32447
178,Cyperaceae,Juss.,family,32152,32425
179,Restionaceae,R.Br.,family,32036,32151
180,Flagellariaceae,Dumort.,family,32032,32035
181,Joinvilleaceae,Toml. & A.C.Sm.,family,32028,32031
182,Ecdeiocoleaceae,D.W.Cutler & Airy Shaw,family,32020,32027
183,Poaceae,Barnhart,family,30022,32019
184,Ceratophyllaceae,Gray,family,1561,1564
185,Eupteleaceae,K.Wilh.,family,2302,2305
