citavi_ID,dataset,layer_name,layer,description,unit,coord_system,resolution,extent,version
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_gdd5_1981-2010_V.2.1,Growing degree days heat sum above 5°C,Heat sum of all days above the 5°C temperature accumulated over 1 year,°C,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_gddlgd5_1981-2010_V.2.1,Last growing degree day above 5°C,Last day of the year above 5°C,julian day,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_gdgfgd5_1981-2010_V.2.1,First growing degree day above 5°C,First day of the year above 5°C,julian day,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_gsl_1981-2010_V.2.1,Growing season length,Length of the growing season based on TREELIM (https://doi.org/10.1007/s00035-014-0124-0),number of days,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_gsp_1981-2010_V.2.1_NA,Accumulated precipitation amount on growing season days,Precipitation sum accumulated on all days during the growing season based on TREELIM (https://doi.org/10.1007/s00035-014-0124-0); NA values replaced,kg/(m²*gsl),WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_gst_1981-2010_V.2.1,Mean temperature of the growing season,Mean temperature of all growing season days based on TREELIM (https://doi.org/10.1007/s00035-014-0124-0),°C,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_hurs_mean_1981-2010_V.2.1,Mean monthly near-surface relative humidity,Average monthly near-surface relative humidity,%,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_hurs_range_1981-2010_V.2.1,Annual range of monthly near-surface relative humidity,Difference between maximum and minimum near-surface relative humidity,%,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_kg0_1981-2010_V.2.1,Köppen-Geiger climate classification,"Climate classification after Koeppen, W., Geiger, R. (1936): Handbuch der Klimatologie. Gebrüder Borntraeger, Berlin.",31 categories,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_kg2_1981-2010_V.2.1,Köppen-Geiger climate classification after Peel et al. 2007,"Köppen Geiger after Peel, M. C., Finlayson, B. L., McMahon, T. A. (2007): Updated world map of the Koeppen-Geiger climate classification. Hydrology and earth system sciences discussions, 4(2), 439-473.",31 categories,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_lgd_1981-2010_V.2.1,Last day of the growing season,Last day of the growing season according to TREELIM (https://doi.org/10.1007/s00035-014-0124-0),julian day,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_ngd5_1981-2010_V.2.1,Number of growing degree days above 5°C,Number of days at which tas > 5°C,number of days,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_npp_1981-2010_V.2.1,Net primary productivity,"Calculated based on the ‘Miami model’, Lieth, H., 1972. Modelling the primary productivity of the earth. Nature and resources, UNESCO, VIII, 2:5-10.",gC/(m²*yr),WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_pet_penman_mean_1981-2010_V.2.1,Mean monthly potential evapotranspiration,Average monthly potential evaporation over 1 year calculated with the Penman-Monteith equation,kg/(m²*month),WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_pet_penman_range_1981-2010_V.2.1,Annual range of monthly potential evapotranspiration,Difference between maximum and minimum monthly potential evapotranspiration calculated with the Penman-Monteith equation,kg/m²,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_rsds_1981-2010_mean_V.2.1,Mean monthly surface downwelling shortwave flux in air,Average monthly surface downwelling shortwave flux in air over 1 year,MJ/(m²*d),WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_rsds_1981-2010_range_V.2.1,Annual range of monthly surface downwelling shortwave flux in air,Difference between maximum and minimum monthly surface downwelling shortwave flux in air,MJ/(m²*d),WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_scd_1981-2010_V.2.1,Snow cover days,Number of days with snowcover calculated using the snowpack model implementation in TREELIM (https://doi.org/10.1007/s00035-014-0124-0),count,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_sfcWind_mean_1981-2010_V.2.1,Mean monthly near-surface wind speed,Average monthly near-surface wind speed 10 m above ground,m/s,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_sfcWind_range_1981-2010_V.2.1,Annual range of monthly near-surface wind speed,Difference between maximum and minimum monthly near-surface wind speed 10 m above ground,m/s,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_swb_1981-2010_V.2.1,Soil water balance,Cumulative amount of water available throughout the year. Its maximum is given by available water holding capacity of the soil. Minimum values indicate that evaportranspiration has exceeded precipitation minus runoff.,kg/(m²*yr),WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_swe_1981-2010_V.2.1,Snow water equivalent,Amount of liquid water if snow is melted,kg/(m²*yr),WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_vpd_mean_1981-2010_V.2.1,Mean monthly vapor pressure deficit,Average monthly vapor pressure deficit,Pa,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_vpd_range_1981-2010_V.2.1,Annual range of monthly vapor pressure deficit,Difference between maximum and minimum monthly vapor pressure deficit,Pa,WGS84,30 arc-seconds,global,2.1
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO1_0_5cm_Annual_Mean_Temperature,Annual Mean Temperature (0-5cm soil),SBIO1 (0-5cm soil),°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO1_5_15cm_Annual_Mean_Temperature,Annual Mean Temperature (1-15cm soil),SBIO1 (5-15cm soil),°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO10_5_15cm_meanT_warmestQ,Mean Temperature of Warmest Quarter (5-15cm soil),SBIO10 (5-15cm soil),°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO11_5_15cm_meanT_coldestQ,Mean Temperature of Coldest Quarter (5-15cm soil),SBIO11 (5-15cm soil),°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO2_5_15cm_mean_diurnal_range,Mean Diurnal Range (5-15cm soil),SBIO2 (5-15cm soil) = Mean of monthly (max temp - min temp),°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO3_5_15cm_Isothermality_NA,Isothermality (5-15cm soil),SBIO3 (5-15cm soil) = (BIO2/BIO7) ×100; Trimmed to be within [0:100],°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO4_5_15cm_Temperature_Seasonality,Temperature Seasonality (5-15cm soil),SBIO4 (5-15cm soil) = standard deviation ×100,°C/100,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO5_5_15cm_MaxT_warmestMonth,Max Temperature of Warmest Month (5-15cm soil),SBIO5 (5-15cm soil),°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO6_5_15cm_MinT_coldestMonth,Min Temperature of Coldest Month (5-15cm soil),SBIO6 (5-15cm soil),°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO7_0_5cm_annual_range,Temperature Annual Range (0-5cm soil),SBIO7 (0-5cm soil) = SBIO5-SBIO6,°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO7_5_15cm_annual_range,Temperature Annual Range (5-15cm soil),SBIO7 (5-15cm soil) = SBIO5-SBIO6,°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO8_5_15cm_meanT_wettestQ,Mean Temperature of Wettest Quarter (5-15cm soil),SBIO8 (5-15cm soil),°C,WGS84,30 arc-seconds,global,2
{Lembrechts 2022 #3840},Global soil bioclimatic variables,SBIO9_5_15cm_meanT_driestQ,Mean Temperature of Driest Quarter (5-15cm soil),SBIO9 (5-15cm soil),°C,WGS84,30 arc-seconds,global,2
{Cai 2023 #3842},Global plant diversity predictions,SR_Ensemble_rasterized,Species richness based on model ensemble,Species richness of vascular plants per 7774 km² rasterized from global hexagon grid,count,WGS84,30 arc-seconds,global,
{Cai 2023 #3842},Global plant diversity predictions,SR_XGBoost_geocoord_rasterized,Species richness based on XGBoost with cubic polynomial trend surface,Species richness of vascular plants per 7774 km² rasterized from global hexagon grid,count,WGS84,30 arc-seconds,global,
{Cai 2023 #3842},Global plant diversity predictions,PR_Ensemble_rasterized,Phylogenetic richness based on model ensemble,Phylogenetic richness of vascular per 7774 km² rasterized from global hexagon grid,Million years,WGS84,30 arc-seconds,global,
{Cai 2023 #3842},Global plant diversity predictions,PR_XGBoost_geocoord_rasterized,Phylogenetic richness based on XGBoost with cubic polynomial trend surface,Phylogenetic richness of vascular plants per 7774 km² rasterized from global hexagon grid,Million years,WGS84,30 arc-seconds,global,
{Zomer 2022 #3843},Global aridity Index and potential evapotranspiration Database,et0_v3_yr,Potential Evapo-Transpiration,Reference Evapo-transpiration over 1970-2000 based on Penman-Monteith equation in mm per year,mm,WGS84,30 arc-seconds,global,3/6
{Zomer 2022 #3843},Global aridity Index and potential evapotranspiration Database,et0_v3_yr_sd,Standard deviation in Potential Evapo-Transpiration,Standard deviation of the mean annual reference Evapo-transpiration over 1970-2000 based on Penman-Monteith equation in mm per year,mm,WGS84,30 arc-seconds,global,3/6
{Zomer 2022 #3843},Global aridity Index and potential evapotranspiration Database,ai_v3_yr_NAs,Aridity Index,"Aridity expressed as the ratio
of precipitation over PET between 1970 and 2000: Al = MA_Prec/MA_ET0; Layer clipped for NAs in et0_v3_yr",mm,WGS84,30 arc-seconds,global,3/6
{Fluet-Chouinard 2023 #3844},Global wetland loss,wetland_1700_ensemblemean_v10,Remaining natural wetland area in 1700,Ensemble average from 12 reconstructions of  simulated natural wetland area in 1700,km²,WGS84,0.5 degrees,global,10
{Fluet-Chouinard 2023 #3844},Global wetland loss,wetland_2020_ensemblemean_v10,Remaining natural wetland area in 2020,Ensemble average from 12 reconstructions of  simulated natural wetland area in 2020,km²,WGS84,0.5 degrees,global,10
{Owens 2019 #3845},Climate stability,TempStability,Temperature stability since 20000 BP,Inverse of the mean of the standard deviations of Temperature for 20 100 year intervalls divided the length of the interval; scaled to min 0 and max 1,,WGS84,2.5 degrees,global,1
{Owens 2019 #3845},Climate stability,PrecipStability,Precipitation stability since 20000 BP,Inverse of the mean of the standard deviations of Precipitation for 20 100 year intervalls divided the length of the interval; scaled to min 0 and max 1,,WGS84,2.5 degrees,global,1
{Owens 2019 #3845},Climate stability,climateStability,Climate stability since 20000 BP,Precipitation stability times Temperature stability; scaled to min 0 and max 1,,WGS84,2.5 degrees,global,1
{Hengl 2017 #3543},Global gridded soil information,sand05_1km,Sand 0-5cm, 	Proportion of sand particles (> 0.05 mm) in the fine earth fraction,g/kg,WGS84,30 arc-seconds,global,1
{Hengl 2017 #3543},Global gridded soil information,cfvo05_1km,Coarse fragments 0-5cm,Volumetric fraction of coarse fragments (> 2 mm),cm3/dm3 (vol‰),WGS84,30 arc-seconds,global,1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_interannualP_1981-2010_V.2.1,Interannual standard deviation of precipitations,Standard deviation of precipitation over the years 1981-2010 (calculated from monthly layers),kg/(m²*yr),WGS84,30 arc-seconds,global,2.1
