citavi_ID,dataset,layer_name,layer,description,unit,coord_system,resolution,extent,version
{Wilson 2016 #3534},Global cloud cover,MODCF_intraannualSD,Within-year seasonality in cloud cover,"standard deviation of mean 2000-2014 monthly
cloud frequencies",%,WGS84,30 arc-seconds,global,
{Wilson 2016 #3534},Global cloud cover,MODCF_interannualSD,Between-year seasonality in cloud cover,"mean of the 2000-2014 monthly
standard deviations
mean annual cloud frequency within a one-degree, %110 km, circular moving window",%,WGS84,30 arc-seconds,global,
{Wilson 2016 #3534},Global cloud cover,MODCF_spatialSD_1deg,Spatial variability of mean annual cloud cover,"standard deviation of
mean annual cloud frequency within a one-degree, %110 km, circular moving window",%,WGS84,30 arc-seconds,global,
{Wilson 2016 #3534},Global cloud cover,MODCF_seasonality_concentration,Seasonal cloud concentration index,"ranging from 0 (all
months equally cloudy) to 100 (all clouds are observed in a single month)",,WGS84,30 arc-seconds,global,
{Wilson 2016 #3534},Global cloud cover,MODCF_seasonality_theta,Timing of peak seasonal cloud concentration,"angle (degrees) ranging from 0 (peak cloudiness observed on January 1st) to 360
(peak cloudiness observed on December 31st)",°,WGS84,30 arc-seconds,global,
{Wilson 2016 #3534},Global cloud cover,MODCF_CloudForestPrediction,Tropical montane cloud forests,Relative occurrence rate of tropical montane cloud forests,,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_1,Evergreen/Deciduous Needleleaf Trees,Prevalence of Evergreen/Deciduous Needleleaf Trees,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_2,Evergreen Broadleaf Trees,Prevalence of Evergreen Broadleaf Trees,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_3,Deciduous Broadleaf Trees,Prevalence of Deciduous Broadleaf Trees,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_4,Mixed/Other Trees,Prevalence of Mixed/Other Trees,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_5,Shrubs,Prevalence of Shrubs,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_6,Herbaceous Vegetation,Prevalence of Herbaceous Vegetation,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_7,Cultivated and Managed Vegetation,Prevalence of Cultivated and Managed Vegetation,%,WGS84,30 arc-seconds,global,
