entity_ID,geo_entity,suit_geo,entity_class,entity_type,TDWG_lvl3_ID,country
1,Ashmore Reef,1,Island,,,0
2,Cartier Island,1,Island,,,0
3,Christmas Island,1,Island,,XMS,1
4,Coral Sea Islands Territory,1,Island,,,0
5,West Wallabi Island,1,Island,,,0
6,Wann Island,1,Island,,,0
7,Turnstone Island,1,Island,,,0
8,Traitor Islet 6,1,Island,,,0
9,Traitor Islet 5,1,Island,,,0
10,Traitor Islet 4,1,Island,,,0
11,Traitor Islet 3,1,Island,,,0
12,Traitor Islet 2,1,Island,,,0
13,Traitor Islet 1,1,Island,,,0
14,Traitors Island,1,Island,,,0
15,Third Sister,1,Island,,,0
16,Tectus Island,1,Island,,,0
17,Tattler Island,1,Island,,,0
18,Short Island,1,Island,,,0
19,Shag Rock 1,1,Island,,,0
20,Shag Rock 2,1,Island,,,0
21,Second Sister,1,Island,,,0
22,Seal Island,1,Island,,,0
23,Seagull Island,1,Island,,,0
24,Saville-Kent Island,1,Island,,,0
25,Plover Island,1,Island,,,0
26,Pigeon Island,1,Island,,,0
27,Pelican Island,1,Island,,,0
28,Oystercatcher Island,1,Island,,,0
29,"North Island, Houtman Abrolhos",1,Island,,,0
30,Naturalist Island,1,Island,,,0
31,Marinula Island,1,Island,,,0
32,Mangrove Island,1,Island,,,0
33,"Long Island, Houtman Abrolhos",1,Island,,,0
34,Little Pigeon Island,1,Island,,,0
35,Hall Island,1,Island,,,0
36,G Island,1,Island,,,0
37,First Sister Islet,1,Island,,,0
38,First Sister,1,Island,,,0
39,Far Island,1,Island,,,0
40,East Wallabi Island,1,Island,,,0
41,East Mangrove Island,1,Island,,,0
42,Eastern Island,1,Island,,,0
43,Eagle Point Islet,1,Island,,,0
44,Dick Island,1,Island,,,0
45,Dakin Island,1,Island,,,0
46,Beacon Island,1,Island,,,0
47,Barge Rock,1,Island,,,0
48,Alcatraz Island,1,Island,,,0
49,Akerstorm Island,1,Island,,,0
50,Wooded Island,1,Island,,,0
51,White Island,1,Island,,,0
52,White Bank,1,Island,,,0
53,Tapani Island,1,Island,,,0
54,Suomi Island,1,Island,,,0
55,Stokes Island,1,Island,,,0
56,Shearwater Islet,1,Island,,,0
57,Shearwater Island,1,Island,,,0
58,Serventy Island,1,Island,,,0
59,"Sandy Island, Easter Group",1,Island,,,0
60,Roma Island,1,Island,,,0
61,Rat Island,1,Island,,,0
62,Nitraria Island,1,Island,,,0
63,Morley Island,1,Island,,,0
64,Little Stokes Island,1,Island,,,0
65,Little Roma Island,1,Island,,,0
66,Little Rat Island,1,Island,,,0
67,Little North Island,1,Island,,,0
68,Leo Islet 2,1,Island,,,0
69,Leo Islet 1,1,Island,,,0
70,Leo Island,1,Island,,,0
71,Landscope Island,1,Island,,,0
72,Keru Island,1,Island,,,0
73,Joe Smith Island,1,Island,,,0
74,Helms Islet 2,1,Island,,,0
75,Helms Island,1,Island,,,0
76,Gilbert Island,1,Island,,,0
77,Gibson Island,1,Island,,,0
78,Dry Island,1,Island,,,0
79,Crake Island,1,Island,,,0
80,"Campbell Island, Houtman",1,Island,,,0
81,Bynoe Island,1,Island,,,0
82,Bushby Island,1,Island,,,0
83,Alexander Island,1,Island,,,0
84,Uncle Margie Island,1,Island,,,0
85,Two Island,1,Island,,,0
86,Travia island,1,Island,,,0
87,Three Island,1,Island,,,0
88,The Coral Patch,1,Island,,,0
89,Sweet Island,1,Island,,,0
90,Stick Island,1,Island,,,0
91,Square Island,1,Island,,,0
92,Sid Liddon Island,1,Island,,,0
93,Ship rock,1,Island,,,0
94,Seven Islet,1,Island,,,0
95,Seven Island,1,Island,,,0
96,"Sandy Island, Pelsaert Group",1,Island,,,0
97,Rotondella Island,1,Island,,,0
98,Robertson Island,1,Island,,,0
99,Post office Island,1,Island,,,0
100,Pelsaert Island,1,Island,,,0
101,One Island,1,Island,,,0
102,Nook Island,1,Island,,,0
103,Newman Island,1,Island,,,0
104,Murray Island,1,Island,,,0
105,Middle Island,1,Island,,,0
106,Little Jackson Island,1,Island,,,0
107,Lagoon Island,1,Island,,,0
108,Jon Jim Island,1,Island,,,0
109,Jackson Island,1,Island,,,0
110,Iris Refuge Island,1,Island,,,0
111,Hummock Island,1,Island,,,0
112,Gun Islet,1,Island,,,0
113,Gun Island,1,Island,,,0
114,Gregory Island,1,Island,,,0
115,Gaze Islet 1,1,Island,,,0
116,Gaze Island,1,Island,,,0
117,Foale Island,1,Island,,,0
118,Eight Island,1,Island,,,0
119,Davis Island,1,Island,,,0
120,Coronation Island,1,Island,,,0
121,Burton Island,1,Island,,,0
122,Burnett Rock,1,Island,,,0
123,Basile Island,1,Island,,,0
124,Arthur Island,1,Island,,,0
125,Cocos (Keeling) Main Atoll,1,Island,,,0
126,Cocos (Keeling) North Keeling Island,1,Island,,,0
127,Lord Howe Island,1,Island,,,0
128,Norfolk Island,1,Island,,,1
129,Macquarie Island,1,Island,,MAQ,0
130,Heard and McDonald Islands,1,Island,,HMD,1
131,Corvo,1,Island,,,0
132,Flores,1,Island,,,0
133,Faial,1,Island,,,0
134,Pico,1,Island,,,0
