ref_ID,ref_long,geo_entity_ref,type,subset,taxon_ID,taxon_name,checklist,native_indicated,natural_indicated,end_ref,traits,restricted,proc_date
11,"Borges, Cunha, Gabriel, Martins, Silva & Vieira (2005) A list of the terrestrial fauna (Mollusca and Arthropoda) and flora (Bryophyta, Pteridophyta and Spermatophyta) from the Azores. Direcção Regional do Ambiente and Universidade dos Açores, Horta;  Angra do Heroísmo and Ponta Delgada;  Portugal, 317p.",Azores,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,2011-03-07
12,"Junak, Philbrick, Chaney & Clark (1997) A checklist of vascular plants of Channel Islands National Park. Southwest Parks and Monuments Association, Tucson, Arizona, 43p.",California Channel Islands National Park,Checklist,native and naturalized,2,Tracheophyta,1,1,1,1,0,0,2011-04-05
13,"Arechavaleta, Rodríguez, Zurita & García (2009) Lista de especies silvestres de Canarias. Hongos, plantas y animales terrestres. Consejería de Medio Ambiente y Ordenación Territorial, Gobierno de Canarias, Santa Cruz de Tenerife;  Spain, 579p.",Canary Islands,Checklist,native and naturalized,2,Tracheophyta,1,1,1,1,0,0,2011-03-01
14,"Broughton & McAdam (2005) A checklist of the native vascular flora of the Falkland Islands (Islas Malvinas). The Journal of the Torrey Botanical Society 132, 115–148.",Falkland Islands,Checklist,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
15,"Jaramillo Díaz & Guézou (2011) CDF checklist of Galapagos vascular plants. Available at: http://www.darwinfoundation.org/datazone/checklists/vascular-plants/, last accessed  2 February 2011.",Galapagos Islands,Checklist,all,2,Tracheophyta,1,1,1,1,0,0,2014-11-30
16,"Wagner, Herbst & Lorence (2005) Flora of the Hawaiian Islands website. Available at: http://botany.si.edu/pacificislandbiodiversity/hawaiianflora/, last accessed  16 October 2010.",Hawaiian Islands,Checklist,all,2,Tracheophyta,1,1,1,1,1,0,2014-11-28
17,"Kristinsson (2008) Checklist of the vascular plants of Iceland. Náttúrufræðistofnun Íslands, Reykjavík;  Iceland, 58p.",Iceland,Checklist,all,2,Tracheophyta,1,1,1,0,0,0,2011-04-04
18,"Ferreira, Coutinho, Pinheiro & Thomaz (2007) Composição florística e formações vegetais da Ilha dos Franceses, Espírito Santo. Bol. Mus. Biol. Mello Leitao 22, 25-44.",Ilha dos Franceses,Checklist,all,5,Spermatophyta,1,1,1,0,1,0,2011-06-02
19,"Robinson, Canty & Fotheringham (2008) Investigator group expedition 2006. Transactions of the Royal Society of South Australia 132, 173–220.",Investigator Group,Checklist,all,2,Tracheophyta,1,1,1,0,0,0,2011-06-02
20,"Koltzenburg (2011) Checkliste der Gefässpflanzen Irlands. Available at: http://www.saxifraga.de/eire/irl_artenlisten_gp.html, last accessed  4 April 2011.",Ireland,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
21,"Barker, Barker, Jessop & Vonow (2005) Census of South Australian vascular plants. Journal of the Adelaide Botanic Gardens Supplement 1, 1–396.",South Australia,Checklist,native and naturalized,2,Tracheophyta,1,1,1,0,0,0,2011-06-29
22,"Kirchner, Picot, Merceron & Gigot (2010) Flore vasculaire de La Réunion. Conservatoire Botanique National de Mascarin, Réunion;  France.",La Réunion,Red list,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
23,"Wagner & Lorence (2002) Flora of the Marquesas Islands website. Available at: http://botany.si.edu/pacificislandbiodiversity/marquesasflora/index.htm, last accessed  28 November 2014.",Marquesas Islands,Checklist,all,2,Tracheophyta,1,1,1,1,1,0,2010-12-16
24,"New Zealand Plant Conservation Network (2011) New Zealand's Flora. Available at: http://nzpcn.org.nz/page.asp?flora, last accessed  18 March 2011.",New Zealand,Checklist,all,1,Embryophyta,1,1,0,0,0,0,2011-03-18
25,"Kingston, Waldren & Bradley (2003) The phytogeographical affinities of the Pitcairn Islands – a model for south-eastern Polynesia?. Journal of Biogeography 30, 1311-1328.",Pitcairn Islands,Checklist,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
26,"Releford, Stevens, Bridges & McClatchey (2009) Flora of Rongelap and Ailinginae Atolls, Republic of the Marshall Islands. Atoll Research Bulletin 572, 1-13.",Rongelap and Ailinginae Atolls,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,2011-06-01
27,"Nakamura, Suwa, Denda & Yokota (2009) Geohistorical and current environmental influences on floristic differentiation in the Ryukyu Archipelago, Japan. Journal of Biogeography 36, 919-928.",Ryuku Archipelago,Checklist,native,5,Spermatophyta,1,1,0,0,0,0,9999-12-31
28,"Sandbakk, Alsos, Arnesen & Elven (1996) The flora of Svalbard. Available at: http://svalbardflora.no/, last accessed  16 March 2011.",Svalbard,Checklist,native,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
29,"Renvoize (1975) A floristic analysis of the western Indian Ocean coral islands. Kew Bulletin 30, 133–152.",Western Indian Ocean Coral Islands,Checklist,native,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
30,"Acevedo-Rodríguez & Strong (2007) Catalogue of the seed plants of the West Indies Website. Available at: http://botany.si.edu/antilles/WestIndies/catalog.htm, last accessed  1 March 2011.",West Indies,Checklist,all,5,Spermatophyta,1,1,0,1,0,0,2014-11-05
31,"The Chinese Academy of Sciences (2009) Chinese Virtual Herbarium. Available at: http://www.cvh.org.cn/, last accessed  23 June 2011.",Chinese Islands incl. Taiwan and HongKong,Account,native,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
32,"Johnston (1931) The flora of the Revillagigedo Islands. Proceedings of the California Academy of Sciences 20, 9–104.",Revillagigedo Islands,Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
33,"Moran (1996) The flora of Guadalupe Island, Mexico. California Academy of Sciences, San Francisco, CA, 190p.",Guadalupe Island (Mexico),Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
34,"Taylor (2006) Straight through from London. Heritage Expeditions New Zealand, Christchurch; New Zealand, 415p.",Bounty Islands and Antipodes,Survey,native,6,Angiospermae,1,1,0,1,0,0,9999-12-31
36,"Stone (1959) The flora of Namonuito and the Hall Islands. Pacific Science 13, 88-104.",Namonuito and Hall Islands,Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
37,"Wace (1961) The vegetation of Gough Island. Ecological Monographs 31, 337-367.",Gough Island,Checklist,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
38,"Miller & Morris (2004) Ethnoflora of the Soqotra Archipelago. Royal Botanic Garden, Edinburgh;  UK.",Soqotra,Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
39,"Kelly (2006) The vascular flora of Huggins Island, Onslow County, North Carolina. Castanea 71, 295–311.",Caroline Atoll,Checklist,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
40,"Fosberg, Renvoize & Townsend (1980) The flora of Aldabra and neighbouring islands. HMSO, London;  UK, 358p.",Aldabra and neighbouring islands,Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
42,"Sykes (1970) Contributions to the flora of Niue. Bulletin. Department of Scientific and Industrial Research, New Zealand 200, 321.",Niue Island,Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
43,"Niering (1963) Terrestrial ecology of Kapingamarangi Atoll, Caroline Islands. Ecological Monographs 33, 131-160.",Kapingamarangi Atoll,Survey,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
44,"Trusty, Kesler & Delgado (2006) Vascular flora of Isla del Coco, Costa Rica. Proceedings of the California Academy of Sciences 57, 247-355.",Cocos Island (Costa Rica),Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
45,"Sykes, West, Beever & Fife (2000) Kermadec Islands flora-special edition. Manaaki Whenua Press, Landcare Research, Lincoln, New Zealand.",Kermadec Islands,Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
46,"Exell (1944) Catalogue of the vascular plants of S. Tome (with Principe and Annobon). Trustees of the British Museum, London;  UK, 428p.",Gulf of Guinea,Catalogue,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
49,"Ashmole & Ashmole (2000) St Helena and Ascension Island. Anthony Nelson Ltd, Oswestry; Shropshire; UK.",St. Helena and Ascension,Checklist,native,6,Angiospermae,1,1,0,1,0,0,9999-12-31
52,"Fosberg, Otobed, Sachet, Oliver, Powell & Canfield (1980) Vascular plants of Palau with vernacular names. Smithsonian Institution, Department of Botany, Washington DC.",Palau,Checklist,native,6,Angiospermae,1,1,0,0,0,0,9999-12-31
53,"St John (1988) Census of the flora of the Gambier Islands, Polynesia. NA, Honolulu, Hawaii.",Gambier Islands,Flora,native,6,Angiospermae,1,1,0,1,0,0,9999-12-31
54,"Yuncker (1959) Plants of Tonga. Bishop Museum Bulletin 220, 1-283.",Tonga,Flora,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
55,"Christophersen (1931) Vascular plants of Johnston and Wake Islands. Occasional Papers of the Bernice Pauahi Bishop Museum of Polynesian 9, 1-20.",Johnston and Wake Islands,Flora,native,6,Angiospermae,1,1,0,1,0,0,9999-12-31
